step,avg_reward
2048,1.4
4096,1.5
6144,1.5
8192,1.4761904761904763
10240,1.3703703703703705
12288,1.4
14336,1.44
16384,1.3953488372093024
18432,1.3917525773195876
20480,1.35
22528,1.32
24576,1.36
26624,1.38
28672,1.38
30720,1.4
32768,1.39
34816,1.37
36864,1.31
38912,1.39
40960,1.41
43008,1.38
45056,1.37
47104,1.33
49152,1.34
51200,1.39
53248,1.42
55296,1.46
57344,1.37
59392,1.34
61440,1.34
63488,1.32
65536,1.34
67584,1.25
69632,1.24
71680,1.3
73728,1.29
75776,1.36
77824,1.41
79872,1.34
81920,1.3
83968,1.28
86016,1.43
88064,1.39
90112,1.4
92160,1.41
94208,1.44
96256,1.39
98304,1.49
100352,1.49
102400,1.53
104448,1.51
106496,1.49
108544,1.39
110592,1.34
112640,1.21
114688,1.22
116736,1.26
118784,1.25
120832,1.15
122880,1.18
124928,1.26
126976,1.27
129024,1.32
131072,1.39
133120,1.39
135168,1.37
137216,1.43
139264,1.49
141312,1.5
143360,1.4
145408,1.38
147456,1.39
149504,1.36
151552,1.33
153600,1.26
155648,1.25
157696,1.24
159744,1.18
161792,1.21
163840,1.24
165888,1.27
167936,1.29
169984,1.26
172032,1.3
174080,1.36
176128,1.36
178176,1.35
180224,1.39
182272,1.34
184320,1.37
186368,1.35
188416,1.31
190464,1.38
192512,1.45
194560,1.46
196608,1.46
198656,1.44
200704,1.46
202752,1.44
204800,1.43
206848,1.39
208896,1.37
210944,1.28
212992,1.24
215040,1.24
217088,1.22
219136,1.32
221184,1.33
223232,1.56
225280,1.65
227328,1.64
229376,1.7
231424,1.7
233472,1.79
235520,1.73
237568,1.65
239616,1.67
241664,1.48
243712,1.49
245760,1.47
247808,1.47
249856,1.44
251904,1.41
253952,1.49
256000,1.51
258048,1.55
260096,1.56
262144,1.57
264192,1.62
266240,1.62
268288,1.67
270336,1.73
272384,1.75
274432,1.73
276480,1.79
278528,1.89
280576,1.77
282624,1.81
284672,1.84
286720,1.88
288768,2.04
290816,2.12
292864,1.99
294912,1.94
296960,2.0
299008,1.98
301056,2.04
303104,2.07
305152,1.96
307200,2.05
309248,1.8
311296,1.86
313344,1.88
315392,1.98
317440,1.85
319488,1.73
321536,1.63
323584,1.79
325632,1.7
327680,1.71
329728,1.59
331776,1.48
333824,1.45
335872,1.45
337920,1.55
339968,1.64
342016,1.57
344064,1.63
346112,1.58
348160,1.69
350208,1.75
352256,1.76
354304,1.82
356352,1.82
358400,1.8
360448,1.83
362496,1.82
364544,1.83
366592,1.93
368640,1.97
370688,1.99
372736,2.04
374784,2.05
376832,2.03
378880,2.13
380928,2.22
382976,2.27
385024,2.28
387072,2.21
389120,2.27
391168,2.29
393216,2.28
395264,2.26
397312,2.26
399360,2.23
401408,2.0
403456,1.91
405504,1.91
407552,1.9
409600,1.79
411648,1.82
413696,1.81
415744,1.9
417792,1.88
419840,1.8
421888,1.77
423936,1.78
425984,1.76
428032,1.75
430080,1.72
432128,1.7
434176,1.8
436224,1.77
438272,1.83
440320,1.9
442368,1.94
444416,1.91
446464,1.94
448512,1.98
450560,2.01
452608,2.09
454656,2.11
456704,2.05
458752,2.05
460800,2.11
462848,2.13
464896,2.21
466944,2.28
468992,2.34
471040,2.32
473088,2.37
475136,2.25
477184,2.23
479232,2.3
481280,2.26
483328,2.29
485376,2.28
487424,2.24
489472,2.19
491520,2.15
493568,2.08
495616,2.1
497664,2.0
499712,1.94
501760,1.95
503808,1.87
505856,1.8
507904,1.81
509952,1.83
512000,1.9
514048,1.91
516096,1.95
518144,1.92
520192,1.91
522240,1.89
524288,1.94
526336,2.03
528384,1.92
530432,1.95
532480,1.93
534528,2.01
536576,2.05
538624,2.04
540672,2.06
542720,2.16
544768,2.04
546816,2.01
548864,2.0
550912,1.96
552960,1.99
555008,1.95
557056,2.09
559104,2.21
561152,2.32
563200,2.2
565248,2.28
567296,2.33
569344,2.41
571392,2.5
573440,2.59
575488,2.65
577536,2.67
579584,2.52
581632,2.55
583680,2.48
585728,2.43
587776,2.46
589824,2.35
591872,2.28
593920,2.22
595968,2.21
598016,2.29
600064,2.34
602112,2.4
604160,2.43
606208,2.41
608256,2.45
610304,2.54
612352,2.56
614400,2.56
616448,2.7
618496,2.61
620544,2.54
622592,2.65
624640,2.63
626688,2.63
628736,2.52
630784,2.54
632832,2.51
634880,2.53
636928,2.52
638976,2.43
641024,2.3
643072,2.12
645120,2.13
647168,2.25
649216,2.25
651264,2.28
653312,2.39
655360,2.3
657408,2.21
659456,2.27
661504,2.32
663552,2.34
665600,2.2
667648,2.08
669696,2.13
671744,2.17
673792,2.11
675840,2.15
677888,2.11
679936,2.11
681984,2.18
684032,2.25
686080,2.36
688128,2.5
690176,2.36
692224,2.32
694272,2.28
696320,2.21
698368,2.19
700416,2.15
702464,2.2
704512,2.29
706560,2.24
708608,2.23
710656,2.39
712704,2.43
714752,2.46
716800,2.61
718848,2.78
720896,2.85
722944,2.91
724992,2.9
727040,2.82
729088,2.87
731136,2.89
733184,2.88
735232,2.88
737280,3.0
739328,2.99
741376,2.86
743424,2.88
745472,2.87
747520,2.84
749568,2.8
751616,2.96
753664,2.86
755712,2.77
757760,2.68
759808,2.68
761856,2.67
763904,2.65
765952,2.72
768000,2.82
770048,2.88
772096,2.87
774144,2.69
776192,2.77
778240,2.71
780288,2.74
782336,2.76
784384,2.67
786432,2.62
788480,2.47
790528,2.31
792576,2.24
794624,2.36
796672,2.28
798720,2.31
800768,2.32
802816,2.33
804864,2.38
806912,2.51
808960,2.63
811008,2.56
813056,2.66
815104,2.58
817152,2.56
819200,2.61
821248,2.52
823296,2.4
825344,2.34
827392,2.1
829440,2.04
831488,2.18
833536,2.13
835584,2.17
837632,2.1
839680,2.17
841728,2.11
843776,2.1
845824,2.17
847872,2.16
849920,2.27
851968,2.15
854016,2.18
856064,2.18
858112,2.28
860160,2.32
862208,2.38
864256,2.41
866304,2.41
868352,2.38
870400,2.29
872448,2.33
874496,2.28
876544,2.26
878592,2.35
880640,2.21
882688,2.33
884736,2.31
886784,2.46
888832,2.48
890880,2.49
892928,2.54
894976,2.66
897024,2.71
899072,2.82
901120,2.84
903168,2.78
905216,2.7
907264,2.7
909312,2.74
911360,2.65
913408,2.72
915456,2.6
917504,2.55
919552,2.4
921600,2.33
923648,2.29
925696,2.29
927744,2.26
929792,2.05
931840,2.14
933888,2.11
935936,2.12
937984,2.13
940032,2.06
942080,2.1
944128,2.11
946176,2.13
948224,2.11
950272,2.21
952320,2.25
954368,2.3
956416,2.31
958464,2.41
960512,2.45
962560,2.44
964608,2.53
966656,2.56
968704,2.62
970752,2.64
972800,2.62
974848,2.44
976896,2.49
978944,2.44
980992,2.35
983040,2.4
985088,2.39
987136,2.34
989184,2.29
991232,2.29
993280,2.4
995328,2.53
997376,2.54
999424,2.48
