step,avg_reward
2048,1.6
4096,1.5714285714285714
6144,1.5483870967741935
8192,1.5238095238095237
10240,1.3888888888888888
12288,1.353846153846154
14336,1.4210526315789473
16384,1.3793103448275863
18432,1.422680412371134
20480,1.38
22528,1.33
24576,1.26
26624,1.23
28672,1.32
30720,1.35
32768,1.28
34816,1.34
36864,1.3
38912,1.3
40960,1.41
43008,1.51
45056,1.6
47104,1.55
49152,1.45
51200,1.4
53248,1.25
55296,1.21
57344,1.23
59392,1.12
61440,1.06
63488,1.1
65536,1.1
67584,1.17
69632,1.19
71680,1.27
73728,1.35
75776,1.33
77824,1.43
79872,1.46
81920,1.37
83968,1.37
86016,1.39
88064,1.38
90112,1.38
92160,1.33
94208,1.28
96256,1.22
98304,1.29
100352,1.3
102400,1.29
104448,1.25
106496,1.23
108544,1.34
110592,1.37
112640,1.37
114688,1.32
116736,1.28
118784,1.32
120832,1.36
122880,1.47
124928,1.48
126976,1.45
129024,1.37
131072,1.53
133120,1.58
135168,1.7
137216,1.69
139264,1.68
141312,1.7
143360,1.65
145408,1.6
147456,1.61
149504,1.53
151552,1.56
153600,1.5
155648,1.39
157696,1.42
159744,1.41
161792,1.42
163840,1.46
165888,1.44
167936,1.51
169984,1.43
172032,1.34
174080,1.37
176128,1.37
178176,1.35
180224,1.3
182272,1.35
184320,1.31
186368,1.27
188416,1.29
190464,1.32
192512,1.37
194560,1.33
196608,1.33
198656,1.35
200704,1.33
202752,1.36
204800,1.44
206848,1.4
208896,1.46
210944,1.53
212992,1.57
215040,1.56
217088,1.52
219136,1.58
221184,1.62
223232,1.67
225280,1.67
227328,1.79
229376,1.74
231424,1.77
233472,1.85
235520,1.83
237568,1.88
239616,1.76
241664,1.74
243712,1.71
245760,1.74
247808,1.66
249856,1.63
251904,1.65
253952,1.67
256000,1.73
258048,1.74
260096,1.85
262144,1.84
264192,1.72
266240,1.68
268288,1.66
270336,1.67
272384,1.62
274432,1.64
276480,1.68
278528,1.64
280576,1.62
282624,1.65
284672,1.61
286720,1.66
288768,1.8
290816,1.84
292864,1.77
294912,1.86
296960,1.87
299008,1.88
301056,1.83
303104,1.97
305152,1.97
307200,1.94
309248,1.93
311296,2.05
313344,2.14
315392,2.03
317440,1.98
319488,2.08
321536,2.11
323584,2.02
325632,2.1
327680,2.19
329728,2.09
331776,2.08
333824,1.96
335872,1.99
337920,2.09
339968,2.0
342016,2.01
344064,2.1
346112,2.04
348160,1.97
350208,1.96
352256,1.88
354304,1.94
356352,1.97
358400,1.97
360448,1.98
362496,1.95
364544,1.95
366592,1.98
368640,2.0
370688,1.99
372736,2.09
374784,2.18
376832,2.03
378880,1.96
380928,1.94
382976,1.96
385024,2.1
387072,2.18
389120,2.12
391168,2.2
393216,2.06
395264,2.01
397312,2.06
399360,2.11
401408,2.1
403456,2.11
405504,2.03
407552,1.94
409600,2.01
411648,2.01
413696,2.03
415744,2.21
417792,2.24
419840,2.32
421888,2.38
423936,2.42
425984,2.4
428032,2.47
430080,2.52
432128,2.4
434176,2.46
436224,2.35
438272,2.29
440320,2.15
442368,2.19
444416,2.15
446464,2.15
448512,2.19
450560,2.14
452608,2.28
454656,2.16
456704,2.15
458752,2.16
460800,2.31
462848,2.34
464896,2.35
466944,2.41
468992,2.47
471040,2.47
473088,2.43
475136,2.5
477184,2.61
479232,2.64
481280,2.7
483328,2.58
485376,2.56
487424,2.64
489472,2.58
491520,2.5
493568,2.53
495616,2.6
497664,2.57
499712,2.51
