step,avg_reward
2048,-20.0
4096,-20.0
6144,-20.285714285714285
8192,-20.11111111111111
10240,-20.181818181818183
12288,-20.307692307692307
14336,-20.375
16384,-20.333333333333332
18432,-20.35
20480,-20.318181818181817
22528,-20.32
24576,-20.296296296296298
26624,-20.344827586206897
28672,-20.35483870967742
30720,-20.38235294117647
32768,-20.38888888888889
34816,-20.342105263157894
36864,-20.375
38912,-20.372093023255815
40960,-20.4
43008,-20.361702127659573
45056,-20.346938775510203
47104,-20.346153846153847
49152,-20.37037037037037
51200,-20.392857142857142
53248,-20.406779661016948
55296,-20.37704918032787
57344,-20.38095238095238
59392,-20.363636363636363
61440,-20.36764705882353
63488,-20.314285714285713
65536,-20.333333333333332
67584,-20.346666666666668
69632,-20.350649350649352
71680,-20.367088607594937
73728,-20.358024691358025
75776,-20.357142857142858
77824,-20.352941176470587
79872,-20.318181818181817
81920,-20.3
83968,-20.304347826086957
86016,-20.28723404255319
88064,-20.28125
90112,-20.29591836734694
92160,-20.29
94208,-20.3
96256,-20.29
98304,-20.28
100352,-20.3
102400,-20.28
104448,-20.25
106496,-20.25
108544,-20.23
110592,-20.19
112640,-20.19
114688,-20.19
116736,-20.18
118784,-20.18
120832,-20.16
122880,-20.14
124928,-20.14
126976,-20.13
129024,-20.16
131072,-20.16
133120,-20.13
135168,-20.11
137216,-20.14
139264,-20.14
141312,-20.15
143360,-20.14
145408,-20.09
147456,-20.09
149504,-20.11
151552,-20.11
153600,-20.12
155648,-20.12
157696,-20.17
159744,-20.16
161792,-20.16
163840,-20.16
165888,-20.16
167936,-20.17
169984,-20.19
172032,-20.19
174080,-20.2
176128,-20.23
178176,-20.22
180224,-20.24
182272,-20.22
184320,-20.22
186368,-20.23
188416,-20.2
190464,-20.23
192512,-20.23
194560,-20.24
196608,-20.29
198656,-20.3
200704,-20.36
202752,-20.37
204800,-20.37
206848,-20.4
208896,-20.39
210944,-20.44
212992,-20.45
215040,-20.45
217088,-20.47
219136,-20.45
221184,-20.44
223232,-20.46
225280,-20.47
227328,-20.47
229376,-20.48
231424,-20.47
233472,-20.47
235520,-20.51
237568,-20.51
239616,-20.5
241664,-20.49
243712,-20.5
245760,-20.47
247808,-20.45
249856,-20.45
251904,-20.44
253952,-20.42
256000,-20.42
258048,-20.41
260096,-20.4
262144,-20.43
264192,-20.43
266240,-20.45
268288,-20.44
270336,-20.42
272384,-20.42
274432,-20.41
276480,-20.43
278528,-20.4
280576,-20.4
282624,-20.4
284672,-20.39
286720,-20.39
288768,-20.38
290816,-20.35
292864,-20.36
294912,-20.35
296960,-20.35
299008,-20.36
301056,-20.34
303104,-20.32
305152,-20.33
307200,-20.31
309248,-20.3
311296,-20.32
313344,-20.3
315392,-20.32
317440,-20.31
319488,-20.29
321536,-20.3
323584,-20.3
325632,-20.31
327680,-20.3
329728,-20.25
331776,-20.27
333824,-20.28
335872,-20.28
337920,-20.31
339968,-20.3
342016,-20.31
344064,-20.3
346112,-20.32
348160,-20.33
350208,-20.32
352256,-20.33
354304,-20.32
356352,-20.32
358400,-20.32
360448,-20.34
362496,-20.32
364544,-20.35
366592,-20.34
368640,-20.34
370688,-20.35
372736,-20.38
374784,-20.38
376832,-20.38
378880,-20.37
380928,-20.37
382976,-20.38
385024,-20.35
387072,-20.33
389120,-20.35
391168,-20.33
393216,-20.33
395264,-20.33
397312,-20.33
399360,-20.34
401408,-20.35
403456,-20.36
405504,-20.38
407552,-20.4
409600,-20.41
411648,-20.41
413696,-20.42
415744,-20.41
417792,-20.41
419840,-20.41
421888,-20.46
423936,-20.46
425984,-20.45
428032,-20.45
430080,-20.45
432128,-20.44
434176,-20.45
436224,-20.47
438272,-20.43
440320,-20.42
442368,-20.42
444416,-20.42
446464,-20.39
448512,-20.4
450560,-20.38
452608,-20.36
454656,-20.37
456704,-20.38
458752,-20.39
460800,-20.39
462848,-20.38
464896,-20.35
466944,-20.35
468992,-20.35
471040,-20.35
473088,-20.36
475136,-20.4
477184,-20.42
479232,-20.43
481280,-20.42
483328,-20.41
485376,-20.4
487424,-20.44
489472,-20.42
491520,-20.4
493568,-20.39
495616,-20.37
497664,-20.36
499712,-20.36
501760,-20.35
503808,-20.36
505856,-20.35
507904,-20.35
509952,-20.36
512000,-20.37
514048,-20.36
516096,-20.36
518144,-20.35
520192,-20.37
522240,-20.35
524288,-20.37
526336,-20.37
528384,-20.38
530432,-20.38
532480,-20.39
534528,-20.39
536576,-20.38
538624,-20.39
540672,-20.41
542720,-20.41
544768,-20.43
546816,-20.45
548864,-20.45
550912,-20.46
552960,-20.47
555008,-20.49
