step,avg_reward
2048,-19.5
4096,-19.75
6144,-20.166666666666668
8192,-20.333333333333332
10240,-20.454545454545453
12288,-20.5
14336,-20.5625
16384,-20.444444444444443
18432,-20.523809523809526
20480,-20.52173913043478
22528,-20.44
24576,-20.5
26624,-20.533333333333335
28672,-20.515151515151516
30720,-20.514285714285716
32768,-20.43243243243243
34816,-20.475
36864,-20.38095238095238
38912,-20.318181818181817
40960,-20.32608695652174
43008,-20.3125
45056,-20.333333333333332
47104,-20.358490566037737
49152,-20.363636363636363
51200,-20.32758620689655
53248,-20.28813559322034
55296,-20.258064516129032
57344,-20.28125
59392,-20.303030303030305
61440,-20.323529411764707
63488,-20.295774647887324
65536,-20.301369863013697
67584,-20.30263157894737
69632,-20.294871794871796
71680,-20.2875
73728,-20.304878048780488
75776,-20.297619047619047
77824,-20.28735632183908
79872,-20.269662921348313
81920,-20.285714285714285
83968,-20.29032258064516
86016,-20.3125
88064,-20.316326530612244
90112,-20.35
92160,-20.33
94208,-20.34
96256,-20.32
98304,-20.31
100352,-20.29
102400,-20.3
104448,-20.28
106496,-20.26
108544,-20.26
110592,-20.28
112640,-20.25
114688,-20.22
116736,-20.21
118784,-20.21
120832,-20.21
122880,-20.24
124928,-20.23
126976,-20.25
129024,-20.27
131072,-20.26
133120,-20.29
135168,-20.28
137216,-20.28
139264,-20.26
141312,-20.27
143360,-20.3
145408,-20.32
147456,-20.31
149504,-20.3
151552,-20.29
153600,-20.3
155648,-20.32
157696,-20.31
159744,-20.32
161792,-20.32
163840,-20.32
165888,-20.31
167936,-20.31
169984,-20.32
172032,-20.33
174080,-20.33
176128,-20.3
178176,-20.29
180224,-20.29
182272,-20.27
184320,-20.3
186368,-20.31
188416,-20.32
190464,-20.31
192512,-20.33
194560,-20.33
196608,-20.34
198656,-20.38
200704,-20.38
202752,-20.35
204800,-20.4
206848,-20.42
208896,-20.41
210944,-20.4
212992,-20.4
215040,-20.39
217088,-20.38
219136,-20.37
221184,-20.39
223232,-20.37
225280,-20.35
227328,-20.36
229376,-20.36
231424,-20.35
233472,-20.37
235520,-20.37
237568,-20.38
239616,-20.36
241664,-20.37
243712,-20.36
245760,-20.35
247808,-20.36
249856,-20.36
251904,-20.35
253952,-20.34
256000,-20.36
258048,-20.37
260096,-20.38
262144,-20.38
264192,-20.38
266240,-20.4
268288,-20.4
270336,-20.37
272384,-20.34
274432,-20.35
276480,-20.33
278528,-20.33
280576,-20.31
282624,-20.31
284672,-20.29
286720,-20.28
288768,-20.27
290816,-20.27
292864,-20.29
294912,-20.29
296960,-20.28
299008,-20.29
301056,-20.29
303104,-20.28
305152,-20.3
307200,-20.3
309248,-20.35
311296,-20.34
313344,-20.38
315392,-20.35
317440,-20.34
319488,-20.34
321536,-20.32
323584,-20.34
325632,-20.34
327680,-20.32
329728,-20.34
331776,-20.32
333824,-20.32
335872,-20.33
337920,-20.35
339968,-20.35
342016,-20.36
344064,-20.38
346112,-20.37
348160,-20.35
350208,-20.33
352256,-20.34
354304,-20.32
356352,-20.3
358400,-20.28
360448,-20.29
362496,-20.35
364544,-20.36
366592,-20.35
368640,-20.37
370688,-20.36
372736,-20.36
374784,-20.37
376832,-20.38
378880,-20.38
380928,-20.37
382976,-20.36
385024,-20.36
387072,-20.34
389120,-20.33
391168,-20.32
393216,-20.31
395264,-20.29
397312,-20.29
399360,-20.29
401408,-20.27
403456,-20.27
405504,-20.25
407552,-20.27
409600,-20.28
411648,-20.26
413696,-20.26
415744,-20.26
417792,-20.28
419840,-20.27
421888,-20.27
423936,-20.28
425984,-20.28
428032,-20.23
430080,-20.21
432128,-20.22
434176,-20.23
436224,-20.22
438272,-20.22
440320,-20.23
442368,-20.24
444416,-20.25
446464,-20.27
448512,-20.29
450560,-20.32
452608,-20.31
454656,-20.31
456704,-20.32
458752,-20.3
460800,-20.28
462848,-20.31
464896,-20.33
466944,-20.32
468992,-20.31
471040,-20.3
473088,-20.31
475136,-20.31
477184,-20.31
479232,-20.33
481280,-20.33
483328,-20.33
485376,-20.35
487424,-20.34
489472,-20.33
491520,-20.32
493568,-20.3
495616,-20.29
497664,-20.29
499712,-20.3
