step,avg_reward
2048,1.0
4096,1.1363636363636365
6144,1.0294117647058822
8192,1.2272727272727273
10240,1.2
12288,1.1343283582089552
14336,1.139240506329114
16384,1.1538461538461537
18432,1.26
20480,1.33
22528,1.37
24576,1.47
26624,1.41
28672,1.48
30720,1.55
32768,1.71
34816,1.67
36864,1.72
38912,1.85
40960,1.99
43008,1.93
45056,2.0
47104,2.06
49152,2.04
51200,2.02
53248,2.0
55296,2.02
57344,1.95
59392,1.99
61440,1.99
63488,2.11
65536,2.25
67584,2.31
69632,2.36
71680,2.3
73728,2.21
75776,2.25
77824,2.2
79872,1.93
81920,1.87
83968,1.84
86016,1.72
88064,1.7
90112,1.82
92160,1.9
94208,1.94
96256,2.0
98304,2.0
100352,2.12
102400,2.16
104448,2.13
106496,2.12
108544,2.17
110592,2.09
112640,2.19
114688,2.33
116736,2.32
118784,2.42
120832,2.47
122880,2.43
124928,2.35
126976,2.4
129024,2.49
131072,2.58
133120,2.57
135168,2.47
137216,2.36
139264,2.27
141312,2.33
143360,2.31
145408,2.31
147456,2.25
149504,2.22
151552,2.15
153600,2.15
155648,2.12
157696,2.16
159744,2.21
161792,2.16
163840,2.24
165888,2.17
167936,2.24
169984,2.27
172032,2.22
174080,2.34
176128,2.39
178176,2.45
180224,2.52
182272,2.49
184320,2.53
186368,2.59
188416,2.61
190464,2.66
192512,2.66
194560,2.79
196608,2.73
198656,2.66
200704,2.75
202752,2.71
204800,2.64
206848,2.71
208896,2.73
210944,2.67
212992,2.62
215040,2.71
217088,2.69
219136,2.57
221184,2.52
223232,2.59
225280,2.63
227328,2.61
229376,2.58
231424,2.7
233472,2.78
235520,2.72
237568,2.82
239616,2.8
241664,2.88
243712,3.04
245760,3.07
247808,3.17
249856,3.25
251904,3.18
253952,3.09
256000,3.25
258048,3.28
260096,3.25
262144,3.27
264192,3.24
266240,3.1
268288,3.02
270336,3.13
272384,3.0
274432,3.04
276480,3.1
278528,2.9
280576,3.06
282624,2.96
284672,3.03
286720,3.12
288768,3.21
290816,3.32
292864,3.25
294912,3.28
296960,3.33
299008,3.24
301056,3.2
303104,3.22
305152,3.1
307200,3.0
309248,2.92
311296,2.84
313344,2.81
315392,2.66
