step,avg_reward
2048,0.1694915254237288
4096,0.2
6144,0.3
8192,0.36
10240,0.35
12288,0.39
14336,0.28
16384,0.16
18432,0.28
20480,0.28
22528,0.31
24576,0.33
26624,0.37
28672,0.24
30720,0.34
32768,0.38
34816,0.39
36864,0.43
38912,0.24
40960,0.43
43008,0.48
45056,0.6
47104,0.65
49152,0.82
51200,0.83
53248,1.02
55296,1.06
57344,1.19
59392,1.16
61440,1.2
63488,1.29
65536,1.45
67584,1.46
69632,1.41
71680,1.51
73728,1.44
75776,1.64
77824,1.76
79872,1.78
81920,1.7
83968,1.73
86016,1.71
88064,1.64
90112,1.74
92160,1.8
94208,1.77
96256,1.84
98304,1.82
100352,1.79
102400,1.7
104448,1.78
106496,1.83
108544,2.01
110592,2.05
112640,2.15
114688,2.19
116736,2.22
118784,2.19
120832,2.14
122880,2.19
124928,2.2
126976,2.19
129024,2.31
131072,2.34
133120,2.45
135168,2.45
137216,2.52
139264,2.55
141312,2.59
143360,2.74
145408,2.63
147456,2.77
149504,2.84
151552,2.83
153600,2.86
155648,2.76
157696,2.66
159744,2.63
161792,2.67
163840,2.62
165888,2.53
167936,2.59
169984,2.68
172032,2.72
174080,2.7
176128,2.82
178176,2.99
180224,3.0
182272,2.94
184320,2.88
186368,2.73
188416,2.62
190464,2.5
192512,2.57
194560,2.7
196608,2.76
198656,2.85
200704,2.86
202752,3.02
204800,3.03
206848,3.08
208896,3.1
210944,3.1
212992,3.09
215040,3.14
217088,3.07
219136,3.03
221184,2.93
223232,2.95
225280,3.07
227328,3.11
229376,3.18
231424,3.3
233472,3.4
235520,3.56
237568,3.58
239616,3.52
241664,3.59
243712,3.53
245760,3.52
247808,3.45
249856,3.34
251904,3.36
253952,3.4
256000,3.36
258048,3.35
260096,3.42
262144,3.38
264192,3.48
266240,3.62
268288,3.45
270336,3.47
272384,3.48
274432,3.38
276480,3.38
278528,3.41
280576,3.37
282624,3.34
284672,3.43
286720,3.3
288768,3.37
290816,3.36
292864,3.25
294912,3.19
296960,3.15
299008,3.13
301056,3.14
303104,3.22
305152,3.32
307200,3.3
309248,3.49
311296,3.54
313344,3.65
315392,3.81
317440,3.83
319488,3.72
321536,3.75
323584,3.74
325632,3.69
327680,3.67
329728,3.55
331776,3.47
333824,3.57
335872,3.6
337920,3.53
339968,3.55
342016,3.46
344064,3.43
346112,3.45
348160,3.5
350208,3.52
352256,3.42
354304,3.41
356352,3.45
358400,3.47
360448,3.47
362496,3.48
364544,3.44
366592,3.59
368640,3.5
370688,3.59
372736,3.72
374784,3.73
376832,3.78
378880,3.74
380928,3.7
382976,3.79
385024,3.78
387072,3.73
389120,3.65
391168,3.7
393216,3.68
395264,3.75
397312,3.73
399360,3.85
401408,3.84
403456,3.92
405504,4.05
407552,3.94
409600,3.93
411648,3.91
413696,3.93
415744,3.81
417792,3.81
419840,3.77
421888,3.78
423936,3.72
425984,3.61
428032,3.6
430080,3.68
432128,3.53
434176,3.53
436224,3.46
438272,3.47
440320,3.51
442368,3.39
444416,3.34
446464,3.49
448512,3.51
450560,3.64
452608,3.62
454656,3.68
456704,3.82
458752,4.0
460800,4.11
462848,4.03
464896,4.03
466944,4.05
468992,4.07
471040,4.02
473088,3.89
475136,3.87
477184,3.75
479232,3.77
481280,3.67
483328,3.57
485376,3.67
487424,3.74
489472,3.56
491520,3.56
493568,3.54
495616,3.55
497664,3.66
499712,3.74
