step,avg_reward
2048,0.24074074074074073
4096,0.24
6144,0.27
8192,0.27
10240,0.35
12288,0.37
14336,0.35
16384,0.42
18432,0.5
20480,0.58
22528,0.65
24576,0.69
26624,0.69
28672,0.71
30720,0.68
32768,0.63
34816,0.57
36864,0.73
38912,0.76
40960,0.75
43008,0.76
45056,0.85
47104,0.93
49152,1.03
51200,1.03
53248,0.97
55296,0.9
57344,0.94
59392,0.96
61440,0.95
63488,1.01
65536,0.97
67584,0.99
69632,0.98
71680,1.04
73728,1.14
75776,1.22
77824,1.31
79872,1.36
81920,1.4
83968,1.41
86016,1.49
88064,1.56
90112,1.68
92160,1.85
94208,1.96
96256,1.97
98304,1.92
100352,1.89
102400,1.98
104448,1.88
106496,1.86
108544,1.91
110592,1.9
112640,1.91
114688,1.98
116736,2.03
118784,1.94
120832,1.98
122880,2.09
124928,2.15
126976,2.11
129024,2.15
131072,1.98
133120,1.94
135168,1.9
137216,2.01
139264,2.11
141312,2.17
143360,2.11
145408,2.15
147456,2.14
149504,2.19
151552,2.27
153600,2.27
155648,2.24
157696,2.26
159744,2.24
161792,2.21
163840,2.29
165888,2.43
167936,2.37
169984,2.35
172032,2.44
174080,2.58
176128,2.57
178176,2.49
180224,2.63
182272,2.59
184320,2.64
186368,2.56
188416,2.64
190464,2.73
192512,2.78
194560,2.77
196608,2.71
198656,2.64
200704,2.64
202752,2.62
204800,2.67
206848,2.74
208896,2.62
210944,2.67
212992,2.6
215040,2.7
217088,2.67
219136,2.54
221184,2.48
223232,2.32
225280,2.27
227328,2.2
229376,2.26
231424,2.42
233472,2.69
235520,2.56
237568,2.59
239616,2.68
241664,2.67
243712,2.82
245760,2.89
247808,3.03
249856,3.06
251904,3.06
253952,3.17
256000,3.19
258048,3.06
260096,2.99
262144,2.95
264192,3.05
266240,3.07
268288,3.09
270336,3.05
272384,2.96
274432,3.1
276480,3.23
278528,3.15
280576,3.09
282624,3.03
284672,3.17
286720,3.08
288768,3.05
290816,3.06
292864,3.17
294912,3.22
296960,3.28
299008,3.35
301056,3.52
303104,3.6
305152,3.63
307200,3.75
309248,3.61
311296,3.61
313344,3.52
315392,3.44
317440,3.52
319488,3.54
321536,3.53
323584,3.65
325632,3.7
327680,3.81
329728,3.83
331776,3.95
333824,3.93
335872,3.95
337920,4.0
339968,3.97
342016,3.84
344064,3.76
346112,3.77
348160,3.75
350208,3.83
352256,3.88
354304,3.83
356352,3.88
358400,4.1
360448,4.23
362496,4.29
364544,4.32
366592,4.2
368640,4.25
370688,4.27
372736,4.41
374784,4.32
376832,4.38
378880,4.24
380928,4.3
382976,4.53
385024,4.54
387072,4.59
389120,4.58
391168,4.63
393216,4.55
395264,4.57
397312,4.39
399360,4.45
401408,4.32
403456,4.36
405504,4.31
407552,4.22
409600,4.31
411648,4.26
413696,4.34
415744,4.28
417792,4.34
419840,4.18
421888,4.27
423936,4.4
425984,4.43
428032,4.38
430080,4.35
432128,4.45
434176,4.49
436224,4.62
438272,4.6
440320,4.58
442368,4.35
444416,4.37
446464,4.43
448512,4.39
450560,4.36
452608,4.43
454656,4.34
456704,4.43
458752,4.61
460800,4.71
462848,4.78
464896,4.8
466944,4.77
468992,4.64
471040,4.6
473088,4.56
475136,4.53
477184,4.51
479232,4.53
481280,4.58
483328,4.65
485376,4.76
487424,4.89
489472,4.74
491520,4.83
493568,4.75
495616,4.66
497664,4.64
499712,4.71
501760,4.69
503808,4.72
505856,4.66
507904,4.59
509952,4.58
512000,4.75
514048,4.65
516096,4.58
518144,4.59
520192,4.62
522240,4.58
524288,4.76
526336,4.81
528384,4.81
530432,4.8
532480,4.76
534528,4.78
536576,4.91
538624,4.82
540672,4.83
542720,4.84
544768,4.9
546816,4.85
548864,4.97
550912,4.92
552960,5.02
555008,5.02
557056,4.95
559104,5.11
561152,4.94
563200,5.05
565248,5.19
567296,5.24
