step,avg_reward
2048,-21.0
4096,-20.8
6144,-20.857142857142858
8192,-20.88888888888889
10240,-20.916666666666668
12288,-20.857142857142858
14336,-20.6875
16384,-20.72222222222222
18432,-20.65
20480,-20.681818181818183
22528,-20.68
24576,-20.555555555555557
26624,-20.551724137931036
28672,-20.516129032258064
30720,-20.545454545454547
32768,-20.5
2048,-21.0
4096,-21.0
6144,-20.857142857142858
8192,-20.444444444444443
10240,-20.272727272727273
12288,-20.384615384615383
14336,-20.4375
16384,-20.333333333333332
18432,-20.3
20480,-20.318181818181817
22528,-20.32
24576,-20.296296296296298
26624,-20.344827586206897
28672,-20.34375
30720,-20.38235294117647
32768,-20.38888888888889
34816,-20.342105263157894
36864,-20.275
38912,-20.302325581395348
40960,-20.31111111111111
43008,-20.319148936170212
45056,-20.3265306122449
47104,-20.254901960784313
49152,-20.264150943396228
51200,-20.285714285714285
53248,-20.275862068965516
55296,-20.283333333333335
57344,-20.317460317460316
59392,-20.323076923076922
61440,-20.29850746268657
63488,-20.304347826086957
65536,-20.309859154929576
67584,-20.31081081081081
69632,-20.31578947368421
71680,-20.32051282051282
73728,-20.3125
75776,-20.337349397590362
77824,-20.32941176470588
79872,-20.344827586206897
81920,-20.344444444444445
83968,-20.347826086956523
86016,-20.36842105263158
88064,-20.329896907216494
90112,-20.333333333333332
92160,-20.31
94208,-20.31
96256,-20.31
98304,-20.32
100352,-20.34
102400,-20.34
104448,-20.32
106496,-20.31
108544,-20.34
110592,-20.34
112640,-20.34
114688,-20.36
116736,-20.35
118784,-20.35
120832,-20.34
122880,-20.34
124928,-20.37
126976,-20.4
129024,-20.38
131072,-20.34
133120,-20.35
135168,-20.35
137216,-20.39
139264,-20.4
141312,-20.41
143360,-20.42
145408,-20.42
147456,-20.41
149504,-20.38
151552,-20.4
153600,-20.4
155648,-20.4
157696,-20.4
159744,-20.41
161792,-20.43
163840,-20.42
165888,-20.44
167936,-20.43
169984,-20.43
172032,-20.4
174080,-20.4
176128,-20.45
178176,-20.44
180224,-20.46
182272,-20.45
184320,-20.47
186368,-20.45
188416,-20.46
190464,-20.46
192512,-20.47
194560,-20.47
196608,-20.49
198656,-20.48
200704,-20.49
202752,-20.48
204800,-20.47
206848,-20.48
208896,-20.5
210944,-20.47
212992,-20.47
215040,-20.47
217088,-20.47
219136,-20.47
221184,-20.47
223232,-20.47
225280,-20.46
227328,-20.46
229376,-20.43
231424,-20.44
233472,-20.43
235520,-20.4
237568,-20.43
239616,-20.42
241664,-20.39
243712,-20.39
245760,-20.4
247808,-20.39
2048,-21.0
4096,-21.0
6144,-20.714285714285715
8192,-20.666666666666668
10240,-20.636363636363637
12288,-20.642857142857142
14336,-20.625
16384,-20.526315789473685
18432,-20.523809523809526
20480,-20.52173913043478
22528,-20.52
24576,-20.444444444444443
26624,-20.5
28672,-20.53125
30720,-20.5
32768,-20.513513513513512
34816,-20.512820512820515
36864,-20.48780487804878
38912,-20.522727272727273
40960,-20.543478260869566
43008,-20.5625
45056,-20.56
47104,-20.566037735849058
49152,-20.545454545454547
51200,-20.54385964912281
53248,-20.491525423728813
55296,-20.483870967741936
57344,-20.46875
59392,-20.46969696969697
61440,-20.463768115942027
63488,-20.464788732394368
65536,-20.47945205479452
67584,-20.486842105263158
69632,-20.487179487179485
71680,-20.475
73728,-20.463414634146343
75776,-20.435294117647057
77824,-20.436781609195403
79872,-20.426966292134832
81920,-20.428571428571427
83968,-20.425531914893618
86016,-20.416666666666668
88064,-20.408163265306122
90112,-20.39
92160,-20.39
94208,-20.39
96256,-20.39
98304,-20.38
