step,avg_reward
2048,0.6666666666666666
4096,1.0952380952380953
6144,1.2
8192,1.175
10240,1.14
12288,1.1967213114754098
14336,1.2191780821917808
16384,1.3170731707317074
18432,1.4021739130434783
20480,1.46
22528,1.55
24576,1.51
26624,1.56
28672,1.67
30720,1.76
32768,1.88
34816,1.81
36864,1.84
38912,1.78
40960,1.86
43008,1.9
45056,2.0
47104,1.96
49152,1.94
51200,1.97
53248,1.92
55296,2.01
57344,2.0
59392,2.03
61440,2.11
63488,2.11
65536,2.07
67584,2.07
69632,2.04
71680,1.99
73728,2.02
75776,2.02
77824,2.04
79872,2.12
81920,1.98
83968,1.86
86016,1.88
88064,1.86
90112,1.85
92160,1.84
94208,1.8
96256,1.6
98304,1.42
100352,1.45
102400,1.36
104448,1.38
106496,1.27
108544,1.25
110592,1.22
112640,1.42
114688,1.56
116736,1.66
118784,1.75
120832,1.85
122880,1.93
124928,2.01
126976,2.12
129024,2.26
131072,2.32
133120,2.38
135168,2.41
137216,2.49
139264,2.47
141312,2.47
143360,2.33
145408,2.36
147456,2.37
149504,2.47
151552,2.56
153600,2.54
155648,2.63
157696,2.45
159744,2.43
161792,2.42
163840,2.4
165888,2.47
167936,2.45
169984,2.38
172032,2.4
174080,2.28
176128,2.28
178176,2.34
180224,2.59
182272,2.66
184320,2.81
186368,2.92
188416,2.94
190464,2.86
192512,2.84
194560,2.72
196608,2.72
198656,2.97
200704,2.73
202752,2.79
204800,2.67
206848,2.62
208896,2.62
210944,2.68
212992,2.74
215040,2.65
217088,2.67
219136,2.51
221184,2.4
223232,2.34
225280,2.38
227328,2.49
229376,2.45
231424,2.56
233472,2.61
235520,2.77
237568,2.88
239616,2.96
241664,3.09
243712,3.31
245760,3.27
247808,3.25
249856,3.2
251904,3.09
253952,2.88
256000,2.76
258048,2.76
260096,2.76
262144,2.78
264192,2.7
266240,2.65
268288,2.62
270336,2.57
272384,2.43
274432,2.38
276480,2.49
278528,2.27
280576,2.09
282624,2.13
284672,1.96
286720,2.07
288768,2.19
290816,2.24
292864,2.38
294912,2.52
296960,2.66
299008,2.7
301056,2.83
303104,2.7
305152,2.82
307200,2.68
309248,2.69
311296,2.91
313344,3.01
315392,3.08
317440,3.16
319488,3.13
321536,3.28
323584,3.35
325632,3.49
327680,3.61
329728,3.72
331776,3.77
333824,3.67
335872,3.54
337920,3.4
339968,3.19
342016,3.08
344064,3.01
346112,2.86
348160,2.79
350208,2.68
352256,2.73
354304,2.62
356352,2.64
358400,2.58
360448,2.65
362496,2.69
364544,2.76
366592,2.66
368640,2.56
370688,2.59
372736,2.47
374784,2.4
376832,2.28
378880,2.44
380928,2.45
382976,2.48
385024,2.48
387072,2.45
389120,2.46
391168,2.52
393216,2.48
395264,2.58
397312,2.67
399360,2.61
401408,2.52
403456,2.45
405504,2.47
407552,2.53
409600,2.58
411648,2.66
413696,2.75
415744,2.75
417792,2.63
419840,2.7
421888,2.73
423936,2.8
425984,2.83
428032,2.87
430080,2.79
432128,2.91
434176,2.96
436224,2.8
438272,2.82
440320,3.04
442368,2.96
444416,3.0
446464,2.95
448512,3.0
450560,3.14
452608,3.08
454656,3.02
456704,2.93
458752,2.8
460800,2.52
462848,2.35
464896,2.12
466944,1.96
468992,1.83
471040,1.75
473088,1.74
475136,1.81
477184,1.92
479232,2.04
481280,2.27
483328,2.51
485376,2.74
487424,2.96
489472,3.09
491520,3.23
493568,3.25
495616,3.4
497664,3.45
499712,3.48
501760,3.54
503808,3.53
505856,3.53
507904,3.53
509952,3.3
512000,3.21
514048,3.18
516096,3.27
518144,3.11
520192,3.13
522240,3.03
524288,3.1
526336,2.99
528384,2.99
530432,2.83
532480,2.89
534528,2.86
536576,2.9
538624,2.76
540672,2.73
542720,2.79
544768,2.77
546816,2.72
548864,2.74
550912,2.77
552960,2.8
555008,2.71
557056,2.62
559104,2.52
561152,2.56
563200,2.5
565248,2.63
567296,2.58
569344,2.54
571392,2.62
573440,2.3
575488,2.26
577536,2.36
579584,2.39
581632,2.65
583680,2.71
585728,2.68
587776,2.65
589824,2.64
591872,2.59
593920,2.7
595968,2.81
598016,2.89
600064,2.83
602112,2.88
604160,2.77
606208,2.85
608256,2.7
610304,2.56
612352,2.68
614400,2.64
616448,2.75
618496,2.74
620544,2.6
622592,2.51
624640,2.44
626688,2.4
628736,2.49
630784,2.66
632832,2.81
634880,2.71
636928,2.65
638976,2.58
641024,2.52
643072,2.58
645120,2.45
647168,2.42
649216,2.22
651264,2.13
653312,1.95
655360,1.93
657408,1.85
659456,1.86
661504,1.85
663552,1.91
665600,1.99
667648,2.03
669696,2.22
671744,2.3
673792,2.38
675840,2.41
677888,2.56
679936,2.46
681984,2.49
684032,2.35
686080,2.33
688128,2.38
690176,2.38
692224,2.39
694272,2.31
696320,2.4
698368,2.41
700416,2.57
702464,2.62
704512,2.85
706560,3.04
708608,3.23
710656,3.19
712704,3.09
714752,2.89
716800,2.98
718848,2.86
720896,2.55
722944,2.22
724992,2.14
727040,1.85
729088,1.77
731136,1.63
733184,1.72
735232,1.63
737280,1.7
739328,1.83
741376,1.87
743424,1.86
745472,1.92
747520,1.96
749568,1.96
751616,1.98
