step,avg_reward
2048,1.625
4096,1.5
6144,1.52
8192,1.542857142857143
10240,1.5227272727272727
12288,1.6415094339622642
14336,1.7377049180327868
16384,1.7746478873239437
18432,1.9
20480,1.9111111111111112
22528,1.9494949494949494
24576,2.05
26624,2.2
28672,2.28
30720,2.23
32768,2.21
34816,2.15
36864,2.02
38912,1.9
40960,1.76
43008,1.61
45056,1.56
47104,1.43
49152,1.47
51200,1.57
53248,1.64
55296,1.77
57344,1.86
59392,2.03
61440,2.18
63488,2.29
65536,2.37
67584,2.42
69632,2.4
71680,2.41
73728,2.38
75776,2.41
77824,2.38
79872,2.45
81920,2.56
83968,2.58
86016,2.69
88064,2.78
90112,2.97
92160,3.02
94208,3.14
96256,3.24
98304,3.13
100352,3.13
102400,3.05
104448,2.89
106496,2.76
108544,2.61
110592,2.48
112640,2.52
114688,2.59
116736,2.48
118784,2.54
120832,2.69
122880,2.75
124928,2.7
126976,2.8
129024,2.99
131072,3.13
133120,3.25
135168,3.34
137216,3.26
139264,3.12
141312,3.09
143360,3.13
145408,3.13
147456,3.13
149504,3.1
151552,3.04
153600,2.81
155648,2.91
157696,2.87
159744,2.94
161792,3.04
163840,3.1
165888,3.06
167936,3.12
169984,3.07
172032,3.03
174080,2.94
176128,2.99
178176,2.77
180224,2.67
182272,2.62
184320,2.57
186368,2.44
188416,2.48
190464,2.51
192512,2.64
194560,2.64
196608,2.65
198656,2.68
200704,2.9
202752,2.75
204800,2.77
206848,2.81
208896,2.9
210944,2.79
212992,2.85
215040,2.89
217088,2.93
219136,3.05
221184,3.0
223232,2.75
225280,2.76
227328,2.77
229376,2.88
231424,2.91
233472,2.9
235520,2.91
237568,3.06
239616,3.01
241664,3.05
243712,3.19
245760,3.26
247808,3.5
249856,3.52
251904,3.56
253952,3.59
256000,3.61
258048,3.54
260096,3.5
262144,3.53
264192,3.45
266240,3.2
268288,3.05
270336,2.86
272384,2.59
274432,2.36
276480,2.2
278528,1.95
280576,1.83
282624,1.82
284672,1.9
286720,2.0
288768,2.05
290816,2.15
292864,2.29
294912,2.46
296960,2.52
299008,2.63
301056,2.87
303104,3.0
305152,2.99
307200,3.2
309248,3.26
311296,3.39
313344,3.33
315392,3.32
317440,3.33
319488,3.31
321536,3.46
323584,3.21
325632,3.12
327680,3.06
329728,3.02
331776,2.68
333824,2.68
335872,2.73
337920,2.72
339968,2.7
342016,2.56
344064,2.63
346112,2.61
348160,2.6
350208,2.46
352256,2.5
354304,2.6
356352,2.75
358400,2.73
360448,2.86
362496,2.91
364544,2.96
366592,2.93
368640,2.99
370688,3.0
372736,3.15
374784,3.02
376832,2.83
378880,2.62
380928,2.41
382976,2.4
385024,2.25
387072,2.31
389120,2.13
391168,2.15
393216,2.15
395264,2.4
397312,2.5
399360,2.51
401408,2.57
403456,2.67
405504,2.71
407552,2.78
409600,2.86
411648,2.97
413696,2.9
415744,2.94
417792,2.78
419840,2.95
421888,3.03
423936,2.96
425984,2.96
428032,2.87
430080,2.92
432128,2.77
434176,2.8
436224,2.94
438272,2.77
440320,2.6
442368,2.37
444416,2.37
446464,2.34
448512,2.36
450560,2.25
452608,2.27
454656,2.25
456704,2.15
458752,2.09
460800,2.05
462848,1.96
464896,1.84
466944,1.83
468992,1.66
471040,1.72
473088,1.64
475136,1.58
477184,1.56
479232,1.64
481280,1.72
483328,1.73
485376,1.79
487424,1.88
489472,1.93
491520,1.82
493568,1.91
495616,1.96
497664,1.94
499712,1.99
